accession_code,lat,lon
PI_435366,34.25638889,-99.51638889
PI_435367,34.25638889,-99.51638889
PI_435370,34.25638889,-99.51638889
PI_435407,34.42638889,-100.2036111
PI_435408,34.25638889,-99.51638889
PI_435409,34.25638889,-99.51638889
PI_435410,33.995,-98.825
PI_435426,28.2975,-96.93861111
PI_435436,27.39388889,-98.32305556
PI_435441,29.44777778,-100.9241667
PI_435445,30.07722222,-102.3541667
PI_435450,32.35194444,-103.9461111
PI_435456,35.28805556,-102.0613889
PI_435465,36.33138889,-103.5272222
PI_435471,36.34277778,-104.9
PI_435475,35.59611111,-104.9986111
PI_435478,35.38722222,-104.4605556
PI_435481,35.15527778,-103.1575
PI_435493,35.06472222,-106.4894444
PI_435495,35.07888889,-101.2791667
PI_435497,34.28861111,-99.71055556
PI_435499,34.52027778,-106.2405556
PI_435500,32.88944444,-105.4775
PI_435543,33.3775,-112.4861111
PI_435571,39.71027778,-111.8355556
PI_435582,40.79666667,-118.0147222
PI_435587,39.92777778,-122.1780556
PI_435589,38.525,-121.9697222
PI_435593,34.16,-117.6769444
PI_435602,34.13333333,-109.2852778
PI_435603,33.21944444,-108.8333333
PI_435604,33.12833333,-107.2522222
PI_435605,34.05833333,-106.8908333
PI_435607,34.61055556,-105.1644444
PI_468438,43.07305556,-89.40111111
PI_468445,29.8475,-94.89055556
PI_468452,26.30361111,-98.63222222
PI_468454,26.92555556,-99.26972222
PI_468458,28.21583333,-99.61666667
PI_468459,28.51138889,-100.3125
PI_468463,29.80833333,-101.5583333
PI_468464,29.93694444,-101.9625
PI_468467,30.97194444,-102.8855556
PI_468468,32.30666667,-104.0833333
PI_468470,33.32861111,-104.4680556
PI_468471,33.85861111,-103.7333333
PI_468474,34.87444444,-102.2813889
PI_468476,31.27277778,-102.6922222
PI_468478,35.22194444,-101.4375
PI_468481,35.2325,-100.5994444
PI_468482,35.19888889,-100.7988889
PI_468497,33.5975,-95.94805556
PI_468502,29.63083333,-95.03333333
PI_468503,29.41833333,-94.96055556
PI_468505,29.61666667,-95.64583333
PI_468512,28.455,-96.88777778
PI_468515,28.02027778,-97.05416667
PI_468520,27.38333333,-97.83861111
PI_468550,32.82722222,-104.6819444
PI_468553,32.88861111,-105.1741667
PI_468557,33.9,-106.8697222
PI_468565,32.80944444,-108.4894444
PI_468569,32.83388889,-109.7069444
PI_468579,32.78333333,-115.55
PI_468618,37.62416667,-109.4775
PI_468628,36.99722222,-105.9955556
PI_586807,47.43333333,-98.7
PI_586815,47.8,-103.3333333
PI_586880,43.33333333,-99.78333333
PI_613773,42.11416667,-96.2175
PI_613778,41.835,-96.06527778
PI_613784,41.04083333,-95.8425
PI_649813,33.45916667,-112.9016667
PI_649815,32.73944444,-114.6338889
PI_649821,33.03333333,-116.8
PI_649824,34.10833333,-117.2888889
PI_649835,36.03333333,-119.8333333
