# Data for individuals that have both genotypes and trait values
# N = 140
# 
# KCF
# 04/06/21
ind_code	Pal	Ste	ol	lin	sat	unsat	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	pop_code	usda_pop	deme	block
468477-5	5.21469	2.5286	42.8549	49.49181	7.74329	92.34671	35.19222222	-102.10722222	136	159	41	8133	326	-60	386	241	31	241	31	479	80	12	60	219	40	219	40	TX4	468477	south	1
468477-7	5.0716	2.43069	35.91359	56.58412	7.50229	92.49771	35.19222222	-102.10722222	136	159	41	8133	326	-60	386	241	31	241	31	479	80	12	60	219	40	219	40	TX4	468477	south	2
468477-8	4.73441	3.59279	31.35005	60.32275	8.3272	91.6728	35.19222222	-102.10722222	136	159	41	8133	326	-60	386	241	31	241	31	479	80	12	60	219	40	219	40	TX4	468477	south	2
468477-9	4.47766	3.45915	46.44927	45.61392	7.93681	92.06319	35.19222222	-102.10722222	136	159	41	8133	326	-60	386	241	31	241	31	479	80	12	60	219	40	219	40	TX4	468477	south	2
468482-14	4.48979	1.89841	32.02226	61.58954	6.3882	93.6118	35.19888889	-100.79888889	143	151	38	8382	337	-53	390	229	33	250	33	570	94	13	55	240	50	223	50	TX5	468482	south	3
468482-3	4.126	1.232	44.985	49.657	5.358	94.642	35.19888889	-100.79888889	143	151	38	8382	337	-53	390	229	33	250	33	570	94	13	55	240	50	223	50	TX5	468482	south	1
468482-5	4.30339	2.47226	55.92844	37.29591	6.77565	93.22435	35.19888889	-100.79888889	143	151	38	8382	337	-53	390	229	33	250	33	570	94	13	55	240	50	223	50	TX5	468482	south	1
468482-6	4.25935	2.1746	42.98443	50.58162	6.43395	93.56605	35.19888889	-100.79888889	143	151	38	8382	337	-53	390	229	33	250	33	570	94	13	55	240	50	223	50	TX5	468482	south	2
468482-8	4.2401	2.64779	45.46576	47.64635	6.88789	93.11211	35.19888889	-100.79888889	143	151	38	8382	337	-53	390	229	33	250	33	570	94	13	55	240	50	223	50	TX5	468482	south	2
468482-9	4.30007	2.65816	41.42037	51.62139	6.95823	93.04176	35.19888889	-100.79888889	143	151	38	8382	337	-53	390	229	33	250	33	570	94	13	55	240	50	223	50	TX5	468482	south	2
468486-2	4.535	1.269	43.592	50.603	5.804	94.195	35.41194444	-99.40388889	152	141	35	8859	348	-47	395	201	35	264	35	669	112	17	50	260	66	215	66	OK1	468486	south	1
468486-3	4.92986	2.5629	29.80444	62.70281	7.49276	92.50725	35.41194444	-99.40388889	152	141	35	8859	348	-47	395	201	35	264	35	669	112	17	50	260	66	215	66	OK1	468486	south	1
468486-4	4.2969	2.19191	40.121	53.39018	6.48881	93.51118	35.41194444	-99.40388889	152	141	35	8859	348	-47	395	201	35	264	35	669	112	17	50	260	66	215	66	OK1	468486	south	1
468486-6	3.655	1.199	27.915	67.23	4.854	95.145	35.41194444	-99.40388889	152	141	35	8859	348	-47	395	201	35	264	35	669	112	17	50	260	66	215	66	OK1	468486	south	1
531035-1	4.57122	0.66116	44.22139	50.54623	5.23238	94.76762	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	1
531035-10	4.01061	2.08702	45.05471	48.84766	6.09763	93.90237	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	2
531035-11	3.81461	1.4512	59.6566	35.07759	5.26581	94.73419	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	3
531035-14	3.92998	0.63754	40.55997	54.87251	4.56752	95.43248	46.6	-108.53333333	75	158	37	9015	302	-123	425	167	-29	194	-39	350	67	10	61	165	36	133	36	MT1	531035	north	3
