# Full population codes and coordinages for the 286 individuals sampled.
# Merged in R from Table1 and the ind_codes.
#
# KCF
# 02/17/21
usda_pop	ind_code	pop_code	Region	Country	Lat	Lon
531035	531035-7	MT1	Montana	USA	46.585	−108.592
531035	531035-8	MT1	Montana	USA	46.585	−108.592
531035	531035-9	MT1	Montana	USA	46.585	−108.592
586817	586817-1	MT2	Montana	USA	46.795	−105.302
586817	586817-10	MT2	Montana	USA	46.795	−105.302
586817	586817-11	MT2	Montana	USA	46.795	−105.302
586817	586817-12	MT2	Montana	USA	46.795	−105.302
586817	586817-13	MT2	Montana	USA	46.795	−105.302
586817	586817-14	MT2	Montana	USA	46.795	−105.302
586817	586817-15	MT2	Montana	USA	46.795	−105.302
586817	586817-17	MT2	Montana	USA	46.795	−105.302
586817	586817-18	MT2	Montana	USA	46.795	−105.302
586817	586817-2	MT2	Montana	USA	46.795	−105.302
586817	586817-20	MT2	Montana	USA	46.795	−105.302
586817	586817-21	MT2	Montana	USA	46.795	−105.302
586817	586817-28	MT2	Montana	USA	46.795	−105.302
586817	586817-3	MT2	Montana	USA	46.795	−105.302
586817	586817-4	MT2	Montana	USA	46.795	−105.302
586817	586817-5	MT2	Montana	USA	46.795	−105.302
586817	586817-6	MT2	Montana	USA	46.795	−105.302
586817	586817-7	MT2	Montana	USA	46.795	−105.302
586817	586817-8	MT2	Montana	USA	46.795	−105.302
586817	586817-9	MT2	Montana	USA	46.795	−105.302
586870	586870-1	NE1	Nebraska	USA	41.063	−98.091
586870	586870-10	NE1	Nebraska	USA	41.063	−98.091
586870	586870-11	NE1	Nebraska	USA	41.063	−98.091
586870	586870-12	NE1	Nebraska	USA	41.063	−98.091
586870	586870-13	NE1	Nebraska	USA	41.063	−98.091
586870	586870-15	NE1	Nebraska	USA	41.063	−98.091
586870	586870-16	NE1	Nebraska	USA	41.063	−98.091
586870	586870-17	NE1	Nebraska	USA	41.063	−98.091
586870	586870-18	NE1	Nebraska	USA	41.063	−98.091
586870	586870-19	NE1	Nebraska	USA	41.063	−98.091
586870	586870-2	NE1	Nebraska	USA	41.063	−98.091
586870	586870-20	NE1	Nebraska	USA	41.063	−98.091
586870	586870-21	NE1	Nebraska	USA	41.063	−98.091
586870	586870-3	NE1	Nebraska	USA	41.063	−98.091
586870	586870-4	NE1	Nebraska	USA	41.063	−98.091
586870	586870-5	NE1	Nebraska	USA	41.063	−98.091
586870	586870-6	NE1	Nebraska	USA	41.063	−98.091
586870	586870-7	NE1	Nebraska	USA	41.063	−98.091
586870	586870-8	NE1	Nebraska	USA	41.063	−98.091
586870	586870-9	NE1	Nebraska	USA	41.063	−98.091
592311	592311-1	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-11	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-12	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-13	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-15	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-19	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-20	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-21	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-22	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-3	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-4	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-5	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-7	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-8	SAS2	Saskatchewan	Canada	50.394	−108.480
592311	592311-9	SAS2	Saskatchewan	Canada	50.394	−108.480
592316	592316-1	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-10	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-11	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-12	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-13	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-14	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-15	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-16	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-17	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-18	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-19	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-2	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-22	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-23	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-3	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-4	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-5	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-6	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-7	SAS3	Saskatchewan	Canada	50.66	−105.665
592316	592316-9	SAS3	Saskatchewan	Canada	50.66	−105.665
592320	592320-10	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-11	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-12	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-13	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-14	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-16	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-2	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-21	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-22	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-23	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-24	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-28	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-29	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-3	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-30	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-4	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-6	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-7	SAS1	Saskatchewan	Canada	50.048	−104.707
592320	592320-9	SAS1	Saskatchewan	Canada	50.048	−104.707
613750	613750-1	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-10	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-11	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-12	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-13	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-14	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-15	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-17	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-18	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-19	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-2	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-23	ND1	North_Dakota	USA	46.879	−102.789
613750	613750-26	ND1	North_Dakota	USA	46.879	−102.789
